Namespace(backbone='resnet50', batch_size=96, config='plabel_Att_knn/plabel_att_knn.yaml',
data_dir='/DB/rhome/yuhaowang/CV_DA/OfficeHomeDataset_10072016', device=device(type='cuda'), early_stop=20,
epoch_based_training=False, is_balance=False, lr=0.001, lr_decay=0.75, lr_gamma=0.0003, lr_scheduler=True,
momentum=0.9, n_epoch=300, n_iter_per_epoch=300, num_workers=3, seed=1, src_domain='Clipart', tgt_domain='Real_World',
transfer_loss='bnm', transfer_loss_weight=1.0, use_bottleneck=True, weight_decay=0.0005)
balance para is : False
batch_num is  45
load success
Epoch: [78/300], cls_loss: 0.0000, transfer_loss: -0.9381, total_Loss: -0.9381, test_loss 0.935175, test_acc: 79.3895
Epoch: [79/300], cls_loss: 0.0000, transfer_loss: -0.9359, total_Loss: -0.9359, test_loss 0.943555, test_acc: 79.4813
Epoch: [80/300], cls_loss: 0.0000, transfer_loss: -0.9361, total_Loss: -0.9361, test_loss 0.929872, test_acc: 79.4813
Transfer result: 79.5731
Epoch: [81/300], cls_loss: 0.0000, transfer_loss: -0.9347, total_Loss: -0.9347, test_loss 0.944830, test_acc: 79.4124
Epoch: [82/300], cls_loss: 0.0000, transfer_loss: -0.9388, total_Loss: -0.9388, test_loss 0.939138, test_acc: 79.4813
Epoch: [83/300], cls_loss: 0.0000, transfer_loss: -0.9352, total_Loss: -0.9352, test_loss 0.938025, test_acc: 79.6190
Epoch: [84/300], cls_loss: 0.0000, transfer_loss: -0.9366, total_Loss: -0.9366, test_loss 0.945479, test_acc: 79.5042
Epoch: [85/300], cls_loss: 0.0000, transfer_loss: -0.9391, total_Loss: -0.9391, test_loss 0.950154, test_acc: 79.5961
Epoch: [86/300], cls_loss: 0.0000, transfer_loss: -0.9390, total_Loss: -0.9390, test_loss 0.952555, test_acc: 79.4354
Epoch: [87/300], cls_loss: 0.0000, transfer_loss: -0.9413, total_Loss: -0.9413, test_loss 0.951738, test_acc: 79.5272
Epoch: [88/300], cls_loss: 0.0000, transfer_loss: -0.9392, total_Loss: -0.9392, test_loss 0.952415, test_acc: 79.4583
Epoch: [89/300], cls_loss: 0.0000, transfer_loss: -0.9300, total_Loss: -0.9300, test_loss 0.946836, test_acc: 79.4813
Epoch: [90/300], cls_loss: 0.0000, transfer_loss: -0.9434, total_Loss: -0.9434, test_loss 0.952999, test_acc: 79.4124
Epoch: [91/300], cls_loss: 0.0000, transfer_loss: -0.9385, total_Loss: -0.9385, test_loss 0.956349, test_acc: 79.5731
Epoch: [92/300], cls_loss: 0.0000, transfer_loss: -0.9481, total_Loss: -0.9481, test_loss 0.951315, test_acc: 79.6190
Epoch: [93/300], cls_loss: 0.0000, transfer_loss: -0.9461, total_Loss: -0.9461, test_loss 0.953796, test_acc: 79.3665
Epoch: [94/300], cls_loss: 0.0000, transfer_loss: -0.9465, total_Loss: -0.9465, test_loss 0.959805, test_acc: 79.5042
Epoch: [95/300], cls_loss: 0.0000, transfer_loss: -0.9439, total_Loss: -0.9439, test_loss 0.971400, test_acc: 79.4354
Epoch: [96/300], cls_loss: 0.0000, transfer_loss: -0.9426, total_Loss: -0.9426, test_loss 0.952386, test_acc: 79.6190
Epoch: [97/300], cls_loss: 0.0000, transfer_loss: -0.9461, total_Loss: -0.9461, test_loss 0.961712, test_acc: 79.4124
Epoch: [98/300], cls_loss: 0.0000, transfer_loss: -0.9463, total_Loss: -0.9463, test_loss 0.959980, test_acc: 79.5042
Epoch: [99/300], cls_loss: 0.0000, transfer_loss: -0.9494, total_Loss: -0.9494, test_loss 0.963030, test_acc: 79.5961
Epoch: [100/300], cls_loss: 0.0000, transfer_loss: -0.9490, total_Loss: -0.9490, test_loss 0.961014, test_acc: 79.4583
Transfer result: 79.6190
Epoch: [101/300], cls_loss: 0.0000, transfer_loss: -0.9454, total_Loss: -0.9454, test_loss 0.976590, test_acc: 79.3436
Epoch: [102/300], cls_loss: 0.0000, transfer_loss: -0.9479, total_Loss: -0.9479, test_loss 0.966156, test_acc: 79.5501
Epoch: [103/300], cls_loss: 0.0000, transfer_loss: -0.9442, total_Loss: -0.9442, test_loss 0.961069, test_acc: 79.5272
Transfer result: 79.6190
